kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,76,1016.8,9.4,1.7,10.1,0,1013.6
0,80,1016.7,9.6,1.1,9.6,0,1013.5
0,76,1016.3,9.6,2,10.4,0,1013.1
0,83,1016.1,9.7,0.9,9.3,0,1012.9
0,80,1016.3,9.4,1.2,9.4,0,1013.1
0,77,1016.2,9.5,2.2,10.1,0.1,1013
0,72,1015.9,9.6,2.9,11.2,1,1012.7
0,60,1015.1,9.7,4.2,14.2,1,1012
0,59,1013.9,10.7,3.9,15.9,1,1010.8
0,53,1011.7,10.9,7.6,17.9,1,1008.6
0,53,1011,10.9,6.8,17.9,0.3,1007.9
0,55,1010.1,11.3,6.1,17.9,0,1007
0,50,1008.8,10.5,7.3,18.3,0.3,1005.7
0,53,1007.6,10.9,8.9,17.9,0,1004.5
0,59,1006.6,11.7,5.6,17.4,0,1003.5
0,57,1005.2,11,7.9,16.9,0,1002.1
0,59,1003.7,11.1,9.9,16.5,0,1000.6
0,60,1002.9,11.1,8.1,16.3,0,999.8
0,69,1000.6,12.5,6.2,15.9,0,997.5
0,78,997.4,13.5,7.8,15.2,0,994.3
0,86,993.4,15.9,7.2,16.3,0,990.4
0.5,82,990.5,15.4,10.6,16.5,0,987.5
1,79,988,14.4,12.6,16,0,985
0.5,88,983.8,15.6,9.8,15.6,0,980.8
0.5,85,980.5,18.3,11.6,18.7,0,977.5
0.5,87,977.5,18.6,11.4,18.6,0,974.5
1,84,974.9,18.7,10.5,19.2,0,971.9
0.5,79,976.2,18.8,3.5,20.3,0,973.2
0,61,978.4,14.4,5.4,20.1,0,975.4
0,52,981.5,10.2,6.5,17.2,0,978.5
0.5,66,984,11.7,4,15.6,0,981
0,62,987.2,9.7,6.7,13.6,0.2,984.1
1,54,990.1,7.8,6.9,12.5,0.2,987
0,43,991.6,7,7.4,14.3,0.6,988.5
0,54,993.6,7.7,4.2,12.2,0.3,990.5
0.5,42,994.5,7.2,7.1,15,0.4,991.4
0,48,995.6,7.7,3.9,14,0.4,992.5
0,36,997.1,6.5,6.7,15.9,0.6,994
0,41,998.4,6.8,4.6,14.5,0.4,995.3
0,38,999.3,6.4,4.8,14.9,0.6,996.2
0,43,1000.2,7.2,4.8,14.7,0,997.1
0,63,1001.4,9.1,3.9,12.5,0,998.3
0.5,66,1001.7,9.3,3.8,12.1,0,998.6
0,55,1000.9,9.1,5.2,14.5,0,997.8
0,49,1000,8.8,7.2,15.8,0,996.9
0,55,1000.1,9.9,8.6,15.8,0,997
1,68,1001.3,11.2,6.5,14.5,0,998.2
4,74,1002.1,10.9,3,12.8,0,999
1.5,74,1002.3,10.9,2.8,12.8,0,999.2
0.5,57,1002.8,9.5,6.1,14.7,0,999.7
0,70,1002.9,10.4,3.9,12.9,0,999.8
0,66,1003.7,9.9,2.7,13,0,1000.6
0,60,1004.1,8.7,1.4,12.5,0,1001
0,56,1004.8,8.3,2.1,12.8,0,1001.7
0,56,1005.3,8.6,1.5,13.3,0.4,1002.2
0,45,1005.9,7.9,3,15.5,0.7,1002.8
0,37,1006.3,6.9,6.6,16.3,1,1003.2
0,32,1006.2,6.2,5.6,17.1,1,1003.1
0,26,1006.5,5.1,6.4,17.3,1,1003.4
0,30,1006.5,6.1,9.4,17.7,1,1003.4
0,30,1006,6.3,5,18.3,1,1002.9
0,25,1006.2,5.2,5,18.1,1,1003.1
0,32,1006.8,6.4,4.2,17.4,1,1003.7
0,30,1008.1,5.5,5.4,16.1,1,1005
0,36,1008.7,5.9,3.9,14.4,0.5,1005.6
0,42,1009.4,6.5,2,13.6,0,1006.3
0,50,1010.5,7.5,2.3,13,0,1007.4
0,62,1011,8.4,3.4,11.4,0,1007.8
0,56,1011.4,7.7,4.2,11.7,0,1008.2
0,54,1011.8,7.3,3.7,11.5,0,1008.6
0,58,1011.9,7.5,2.1,10.7,0,1008.7
0,67,1012.3,8.1,3.5,9.7,0,1009.1
0,61,1013.3,7.5,0.8,10.1,0,1010.1
0,50,1013.9,6.5,2.6,10.8,0,1010.7
0,51,1014.1,6.3,3.1,10.2,0,1010.9
0,53,1014.8,6.4,2.1,9.7,0,1011.6
0,61,1015.3,6.9,2.8,8.7,0,1012.1
0,64,1015.7,7.2,1,8.8,0,1012.5
0,48,1016.7,6.6,5,11.7,0.4,1013.5
0,42,1017.4,6.4,4.6,13.3,0.9,1014.2
0,40,1017.9,6.7,5.3,14.8,0.9,1014.8
0,41,1018.2,6.7,4.9,14.4,0.9,1015.1
0,48,1018.3,7.8,6,14.2,0.6,1015.1
0,54,1018.5,8.1,7.4,13.1,0,1015.3
0,52,1018.7,8,5.4,13.5,0.1,1015.5
0,51,1019,8.1,5.2,13.9,0.1,1015.8
0,51,1019.6,7.9,5.3,13.5,0,1016.4
0,54,1020.3,8.3,4.2,13.4,0,1017.1
0,56,1020.7,8.4,2.6,13,0,1017.5
0,63,1021.3,8.8,1.6,11.9,0,1018.1
0,64,1021.8,8.4,1.6,11,0,1018.6
0,72,1022.2,9.2,0.9,10.6,0,1019
0,71,1022.4,9,0.2,10.5,0,1019.2
0,69,1022.5,9.1,0.8,11,0,1019.3
0,72,1022.5,9.3,1.6,10.7,0,1019.3
0,72,1022.6,9.2,1,10.6,0,1019.4
0,75,1022.9,9.7,1.1,10.8,0,1019.7
0,81,1022.8,10.1,1.5,10.2,0,1019.6
0,74,1022.8,9.5,4.1,10.6,0,1019.6
0,80,1022.8,10.2,1.6,10.5,0,1019.6
0,86,1023.3,10.1,0.9,9.4,0,1020.1
0,88,1023.8,10.2,1,9.1,0,1020.6
0,85,1023.9,10,0.7,9.3,0.2,1020.7
0,80,1024.1,10.7,0.6,11.3,0.6,1020.9
