month,sunspot,year
1,2417,1850
2,2502,1850
3,2561,1850
4,1324,1850
5,1909,1850
6,2100,1850
7,1213,1850
8,1910,1850
9,2586,1850
10,2201,1850
11,1644,1850
12,1890,1850
1,2342,1851
2,2951,1851
3,2003,1851
4,1695,1851
5,1942,1851
6,1895,1851
7,1120,1851
8,1779,1851
9,2037,1851
10,1937,1851
11,1529,1851
12,2213,1851
1,2120,1852
2,1927,1852
3,1897,1852
4,1962,1852
5,1702,1852
6,1406,1852
7,1304,1852
8,1230,1852
9,1124,1852
10,2087,1852
11,1628,1852
12,1406,1852
1,1273,1853
2,1201,1853
3,1168,1853
4,1428,1853
5,1076,1853
6,1200,1853
7,1423,1853
8,1564,1853
9,1006,1853
10,1313,1853
11,863,1853
12,726,1853
1,477,1854
2,561,1854
3,641,1854
4,794,1854
5,744,1854
6,632,1854
7,580,1854
8,489,1854
9,672,1854
10,392,1854
11,845,1854
12,670,1854
1,381,1855
2,318,1855
3,539,1855
4,132,1855
5,282,1855
6,158,1855
7,11,1855
8,97,1855
9,0,1855
10,299,1855
11,125,1855
12,95,1855
1,16,1856
2,143,1856
3,12,1856
4,196,1856
5,0,1856
6,155,1856
7,143,1856
8,184,1856
9,133,1856
10,140,1856
11,232,1856
12,223,1856
1,424,1857
2,208,1857
3,161,1857
4,333,1857
5,885,1857
6,481,1857
7,688,1857
8,523,1857
9,1273,1857
10,1258,1857
11,941,1857
12,1153,1857
1,1210,1858
2,977,1858
3,1781,1858
4,1149,1858
5,1284,1858
6,1334,1858
7,1757,1858
8,1713,1858
9,2404,1858
10,2827,1858
11,1558,1858
12,2073,1858
1,2594,1859
2,2453,1859
3,2799,1859
4,2572,1859
5,2821,1859
6,2612,1859
7,2950,1859
8,3312,1859
9,3173,1859
10,3552,1859
11,2915,1859
12,2512,1859
1,2555,1860
2,2562,1860
3,3066,1860
4,2141,1860
5,3320,1860
6,3257,1860
7,3619,1860
8,3108,1860
9,2767,1860
10,2792,1860
11,2938,1860
12,2964,1860
1,1931,1861
2,2176,1861
3,3132,1861
4,2955,1861
5,1760,1861
6,2644,1861
7,2419,1861
8,2559,1861
9,2398,1861
10,2084,1861
11,1610,1861
12,2494,1861
1,1956,1862
2,1805,1862
3,1351,1862
4,1611,1862
5,1997,1862
6,2521,1862
7,2276,1862
8,1937,1862
9,1997,1862
10,1300,1862
11,1517,1862
12,1267,1862
1,1496,1863
2,1587,1863
3,2058,1863
4,1219,1863
5,1667,1863
6,1225,1863
7,1015,1863
8,1491,1863
9,659,1863
10,1236,1863
11,1131,1863
12,1276,1863
1,1790,1864
2,1367,1864
3,2056,1864
4,1075,1864
5,1258,1864
6,1735,1864
7,1696,1864
8,1698,1864
9,855,1864
10,1050,1864
11,1727,1864
12,886,1864
1,1510,1865
2,1100,1865
3,1223,1865
4,883,1865
5,1070,1865
6,1007,1865
7,830,1865
8,1171,1865
9,648,1865
10,531,1865
11,737,1865
12,397,1865
1,979,1866
2,1075,1866
3,761,1866
4,528,1866
5,401,1866
6,496,1866
7,287,1866
8,395,1866
9,220,1866
10,436,1866
11,271,1866
12,47,1866
1,0,1867
2,20,1867
3,285,1867
4,153,1867
5,90,1867
6,44,1867
7,154,1867
8,148,1867
9,295,1867
10,417,1867
11,287,1867
12,782,1867
1,482,1868
2,456,1868
3,820,1868
4,1099,1868
5,827,1868
6,932,1868
7,898,1868
8,1066,1868
9,1415,1868
10,1910,1868
11,1773,1868
12,2096,1868
1,1889,1869
2,1676,1869
3,1634,1869
4,1230,1869
5,3222,1869
6,3251,1869
7,1836,1869
8,2468,1869
9,2419,1869
10,1839,1869
11,2342,1869
12,3235,1869
1,2395,1870
2,3218,1870
3,4884,1870
4,4799,1870
5,5457,1870
6,4069,1870
7,4104,1870
8,4768,1870
9,4079,1870
10,4538,1870
11,4426,1870
12,4029,1870
1,2738,1871
2,3508,1871
3,4439,1871
4,4873,1871
5,4509,1871
6,2750,1871
7,3192,1871
8,3414,1871
9,2408,1871
10,2760,1871
11,3162,1871
12,2802,1871
1,2465,1872
2,3483,1872
3,2741,1872
4,3064,1872
5,3335,1872
6,3297,1872
7,3270,1872
8,2880,1872
9,3437,1872
10,3181,1872
11,3359,1872
12,2600,1872
1,2687,1873
2,2996,1873
3,3047,1873
4,2285,1873
5,1484,1873
6,1344,1873
7,2073,1873
8,2114,1873
9,1414,1873
10,1460,1873
11,1662,1873
12,1524,1873
1,1884,1874
2,1797,1874
3,1439,1874
4,961,1874
5,1384,1874
6,1145,1874
7,2103,1874
8,1899,1874
9,840,1874
10,1064,1874
11,867,1874
12,907,1874
1,454,1875
2,601,1875
3,1047,1875
4,872,1875
5,356,1875
6,716,1875
7,387,1875
8,453,1875
9,71,1875
10,395,1875
11,532,1875
12,307,1875
1,444,1876
2,436,1876
3,948,1876
4,70,1876
5,157,1876
6,49,1876
7,472,1876
8,273,1876
9,297,1876
10,442,1876
11,297,1876
12,253,1876
1,757,1877
2,243,1877
3,370,1877
4,474,1877
5,671,1877
6,425,1877
7,187,1877
8,196,1877
9,507,1877
10,208,1877
11,427,1877
12,67,1877
1,103,1878
2,185,1878
3,243,1878
4,3,1878
5,183,1878
6,193,1878
7,4,1878
8,0,1878
9,158,1878
10,35,1878
11,122,1878
12,17,1878
1,31,1879
2,16,1879
3,0,1879
4,187,1879
5,74,1879
6,143,1879
7,234,1879
8,333,1879
9,182,1879
10,380,1879
11,393,1879
12,226,1879
1,745,1880
2,788,1880
3,598,1880
4,584,1880
5,729,1880
6,1024,1880
7,678,1880
8,1492,1880
9,1981,1880
10,1333,1880
11,920,1880
12,919,1880
1,1127,1881
2,1489,1881
3,1595,1881
4,1549,1881
5,1350,1881
6,1815,1881
7,2384,1881
8,1809,1881
9,1595,1881
10,1995,1881
11,1645,1881
12,1466,1881
1,1396,1882
2,1947,1882
3,2072,1882
4,2873,1882
5,1988,1882
6,1357,1882
7,1408,1882
8,1253,1882
9,1730,1882
10,1835,1882
11,2531,1882
12,1297,1882
1,1879,1883
2,1314,1883
3,1326,1883
4,2462,1883
5,976,1883
6,2290,1883
7,2499,1883
8,1426,1883
9,1579,1883
10,2597,1883
11,2534,1883
12,2354,1883
1,2838,1884
2,2519,1884
3,2712,1884
4,2283,1884
5,2062,1884
6,1536,1884
7,1646,1884
8,1730,1884
9,1857,1884
10,1482,1884
11,1098,1884
12,1462,1884
1,1327,1885
2,2011,1885
3,1543,1885
4,1651,1885
5,2263,1885
6,2511,1885
7,2062,1885
8,1551,1885
9,1188,1885
10,1200,1885
11,928,1885
12,674,1885
1,927,1886
2,726,1886
3,1776,1886
4,1312,1886
5,953,1886
6,814,1886
7,938,1886
8,523,1886
9,642,1886
10,267,1886
11,10,1886
12,403,1886
1,318,1887
2,369,1887
3,131,1887
4,208,1887
5,621,1887
6,471,1887
7,724,1887
8,664,1887
9,223,1887
10,204,1887
11,206,1887
12,642,1887
1,394,1888
