yymm,GDP
1994/4- 6.,-0.9
7- 9.,1.6
10-12.,-0.6
1995/ 1- 3.,1
4- 6.,1.2
7- 9.,1.2
10-12.,0.2
1996/ 1- 3.,1.2
4- 6.,0.8
7- 9.,0
10-12.,1.2
1997/ 1- 3.,0.5
4- 6.,-1.1
7- 9.,0.6
10-12.,0.2
1998/ 1- 3.,-1.4
4- 6.,-0.4
7- 9.,0.2
10-12.,1.1
1999/ 1- 3.,-1.5
4- 6.,0.5
7- 9.,0.4
10-12.,0.1
2000/ 1- 3.,1.9
4- 6.,0.2
7- 9.,0
10-12.,1
2001/ 1- 3.,0.7
4- 6.,-0.6
7- 9.,-1.1
10-12.,-0.2
2002/ 1- 3.,0.1
4- 6.,0.8
7- 9.,0.4
10-12.,0.4
2003/ 1- 3.,-0.3
4- 6.,0.9
7- 9.,0.4
10-12.,1.1
2004/ 1- 3.,0.9
4- 6.,-0.1
7- 9.,0.5
10-12.,-0.4
2005/ 1- 3.,0.5
4- 6.,0.9
7- 9.,1
10-12.,0.2
2006/ 1- 3.,0.1
4- 6.,0.4
7- 9.,-0.2
10-12.,1.1
2007/ 1- 3.,0.9
4- 6.,-0.1
7- 9.,-0.3
10-12.,0.5
2008/ 1- 3.,0.4
4- 6.,-0.7
7- 9.,-1.2
10-12.,-2.1
2009/ 1- 3.,-4.8
4- 6.,2
7- 9.,-0.1
10-12.,1.5
2010/ 1- 3.,1.1
4- 6.,1
7- 9.,1.9
10-12.,-0.7
2011/ 1- 3.,-1.5
4- 6.,-0.5
7- 9.,2.3
10-12.,-0.1
2012/ 1- 3.,1.1
4- 6.,-0.4
7- 9.,-0.4
10-12.,0.1
2013/ 1- 3.,1.2
4- 6.,1
7- 9.,0.6
10-12.,-0.1
2014/ 1- 3.,1.1
4- 6.,-1.9
7- 9.,-0.2
10-12.,0.7
2015/ 1- 3.,1.1
4- 6.,0
7- 9.,0.2
10-12.,-0.2
2016/ 1- 3.,0.5
4- 6.,0.5
7- 9.,0.2
10-12.,0.4
2017/ 1- 3.,0.3
4- 6.,0.6
7- 9.,0.3
